nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure
      1773, 2.867578875E-02, 1.247319439E-01, 8.741672756E-02, 1.010823151E+05
      1774, 2.867911976E-02, 1.247753255E-01, 8.776431625E-02, 1.003362584E+05
      1775, 2.868202043E-02, 1.248131026E-01, 8.806699896E-02, 9.940356536E+04
      1776, 2.868454401E-02, 1.248459687E-01, 8.833033317E-02, 9.861646705E+04
      1777, 2.868673776E-02, 1.248745392E-01, 8.855924960E-02, 9.787320606E+04
      1778, 2.868864345E-02, 1.248993581E-01, 8.875810727E-02, 9.715375325E+04
      1779, 2.869029790E-02, 1.249209050E-01, 8.893074806E-02, 9.638739773E+04
      1780, 2.869173347E-02, 1.249396013E-01, 8.908054914E-02, 9.554821406E+04
      1781, 2.869297855E-02, 1.249558167E-01, 8.921047253E-02, 9.461059200E+04
      1782, 2.869405799E-02, 1.249698749E-01, 8.932311107E-02, 9.363386351E+04
      1783, 2.869350433E-02, 1.249823837E-01, 8.942069244E-02, 9.115805335E+04
      1784, 3.648219327E-02, 1.214706322E-01, 7.879997876E-02, 9.579006873E+04
      1785, 3.631431997E-02, 1.217394629E-01, 8.031432821E-02, 9.578348461E+04
      1786, 3.493476564E-02, 1.221154999E-01, 8.010388885E-02, 9.524944616E+04
      1787, 3.511816354E-02, 1.218449029E-01, 7.860618564E-02, 9.547690021E+04
      1788, 3.613848794E-02, 1.219865151E-01, 8.166208859E-02, 9.575213210E+04
      1789, 3.474543414E-02, 1.223598266E-01, 8.143747668E-02, 9.508871797E+04
      1790, 3.596585399E-02, 1.222084488E-01, 8.285794114E-02, 9.568090874E+04
      1791, 3.455962038E-02, 1.225817103E-01, 8.262030950E-02, 9.500347685E+04
      1792, 3.579735008E-02, 1.224074676E-01, 8.391514029E-02, 9.556989059E+04
      1793, 3.438072789E-02, 1.227820795E-01, 8.366585275E-02, 9.495622463E+04
      1794, 3.563395819E-02, 1.225870709E-01, 8.484613464E-02, 9.544455105E+04
      1795, 3.420798239E-02, 1.229629237E-01, 8.458652816E-02, 9.492118769E+04
      1796, 3.547406166E-02, 1.227416923E-01, 8.566410801E-02, 9.531996581E+04
      1797, 3.403901500E-02, 1.231223069E-01, 8.539470044E-02, 9.488871210E+04
      1798, 3.532006945E-02, 1.228786395E-01, 8.638009221E-02, 9.521328774E+04
      1799, 3.387462943E-02, 1.232599127E-01, 8.610236110E-02, 9.485569344E+04
      1800, 3.516449598E-02, 1.230039462E-01, 8.700230471E-02, 9.512539548E+04
      1801, 3.370852677E-02, 1.233832748E-01, 8.671724750E-02, 9.482934425E+04
      1802, 3.502114715E-02, 1.231154490E-01, 8.754495110E-02, 9.506346003E+04
      1803, 3.355503954E-02, 1.234932508E-01, 8.725329253E-02, 9.482053716E+04
      1804, 3.489445121E-02, 1.232132746E-01, 8.801894639E-02, 9.502591199E+04
      1805, 3.341929393E-02, 1.235897859E-01, 8.772154468E-02, 9.482732994E+04
      1806, 3.478307217E-02, 1.232967780E-01, 8.843297535E-02, 9.501166334E+04
      1807, 3.330053023E-02, 1.236741390E-01, 8.813037513E-02, 9.484587152E+04
      1808, 3.468581076E-02, 1.233691451E-01, 8.879408164E-02, 9.501568964E+04
      1809, 3.319694408E-02, 1.237477114E-01, 8.848695269E-02, 9.487095371E+04
      1810, 3.460125648E-02, 1.234321440E-01, 8.910870169E-02, 9.503098296E+04
      1811, 3.310683148E-02, 1.238115548E-01, 8.879771706E-02, 9.489854298E+04
      1812, 3.452717840E-02, 1.234870959E-01, 8.938240788E-02, 9.505434904E+04
      1813, 3.302799846E-02, 1.238663074E-01, 8.906827389E-02, 9.492735126E+04
      1814, 3.446258620E-02, 1.235349259E-01, 8.962038430E-02, 9.508354399E+04
      1815, 3.295937040E-02, 1.239139416E-01, 8.930356764E-02, 9.495663519E+04
      1816, 3.440635488E-02, 1.235765158E-01, 8.982716509E-02, 9.511554020E+04
      1817, 3.289972148E-02, 1.239553424E-01, 8.950806786E-02, 9.498487738E+04
      1818, 3.435752130E-02, 1.236126346E-01, 9.000674587E-02, 9.514821319E+04
      1819, 3.284791430E-02, 1.239913022E-01, 8.968569761E-02, 9.501159166E+04
      1820, 3.431518970E-02, 1.236439724E-01, 9.016264037E-02, 9.517963742E+04
      1821, 3.280300410E-02, 1.240225063E-01, 8.983992627E-02, 9.503560941E+04
      1822, 3.427847536E-02, 1.236711581E-01, 9.029789820E-02, 9.521059967E+04
      1823, 3.276404999E-02, 1.240495798E-01, 8.997376122E-02, 9.505730843E+04
      1824, 3.424663781E-02, 1.236947341E-01, 9.041520160E-02, 9.525957162E+04
      1825, 3.273026673E-02, 1.240730619E-01, 9.008984960E-02, 9.508169529E+04
      1826, 3.421903203E-02, 1.237151743E-01, 9.051689632E-02, 9.528531535E+04
      1827, 3.270097044E-02, 1.240934236E-01, 9.019050704E-02, 9.508638891E+04
      1828, 3.784450407E-02, 1.210932012E-01, 7.899400161E-02, 9.577700486E+04
      1829, 3.769280522E-02, 1.213620354E-01, 8.052474366E-02, 9.582792148E+04
      1830, 3.752969836E-02, 1.216087532E-01, 8.188713403E-02, 9.589007815E+04
      1831, 3.737037039E-02, 1.218308237E-01, 8.309601158E-02, 9.593539374E+04
      1832, 3.721334533E-02, 1.220318689E-01, 8.416440191E-02, 9.594662118E+04
      1833, 3.705951823E-02, 1.222107344E-01, 8.510566139E-02, 9.592530315E+04
      1834, 3.690883112E-02, 1.223611420E-01, 8.593339108E-02, 9.586903059E+04
      1835, 3.676492361E-02, 1.224962681E-01, 8.665788600E-02, 9.579878821E+04
      1836, 3.661887369E-02, 1.226198257E-01, 8.728790741E-02, 9.572181387E+04
      1837, 3.648477115E-02, 1.227295590E-01, 8.783758158E-02, 9.565440866E+04
      1838, 3.636634486E-02, 1.228257803E-01, 8.831769564E-02, 9.559650164E+04
      1839, 3.626277845E-02, 1.229098233E-01, 8.873675483E-02, 9.555370614E+04
      1840, 3.617246786E-02, 1.229831029E-01, 8.910212669E-02, 9.552704089E+04
      1841, 3.609395630E-02, 1.230468906E-01, 8.942039974E-02, 9.551420837E+04
      1842, 3.602481909E-02, 1.231026127E-01, 8.969718775E-02, 9.551318696E+04
      1843, 3.596442339E-02, 1.231511358E-01, 8.993778808E-02, 9.552327239E+04
      1844, 3.591174939E-02, 1.231933481E-01, 9.014679820E-02, 9.554198512E+04
      1845, 3.586600998E-02, 1.232300023E-01, 9.032828541E-02, 9.556608119E+04
      1846, 3.582619374E-02, 1.232612201E-01, 9.048587936E-02, 9.559270523E+04
      1847, 3.579157942E-02, 1.232880036E-01, 9.062262593E-02, 9.561722437E+04
      1848, 3.576156633E-02, 1.233112277E-01, 9.074120145E-02, 9.567392436E+04
      1849, 3.573554587E-02, 1.233313598E-01, 9.084398297E-02, 9.573398291E+04
      1850, 3.919757841E-02, 1.206787316E-01, 7.919336313E-02, 9.613033060E+04
      1851, 3.906230438E-02, 1.209489802E-01, 8.074017659E-02, 9.612593125E+04
      1852, 3.891172369E-02, 1.211953861E-01, 8.211714639E-02, 9.611590868E+04
      1853, 3.876568023E-02, 1.214180529E-01, 8.333893253E-02, 9.612730208E+04
      1854, 3.861979921E-02, 1.216202719E-01, 8.441858929E-02, 9.614809446E+04
